Age,YearsBP,TempC
2.06824,2068.24,-29.5708
2.07894,2078.94,-29.6412
2.08846,2088.46,-29.6832
2.0993,2099.3,-29.7492
2.10836,2108.36,-29.7792
2.11616,2116.16,-29.8368
2.12776,2127.76,-29.8812
2.13909,2139.09,-30.016
2.14919,2149.19,-30.1064
2.1594,2159.4,-30.116
2.17028,2170.28,-30.024
2.18181,2181.81,-29.984
2.19224,2192.24,-29.99
2.20231,2202.31,-30.0324
2.21242,2212.42,-30.2
2.22278,2222.78,-30.3908
2.23314,2233.14,-30.5716
2.2429,2242.9,-30.584
2.25295,2252.95,-30.5556
2.26302,2263.02,-30.6676
2.27297,2272.97,-30.7688
2.29293,2292.93,-30.682
2.29293,2292.93,-30.608
2.30303,2303.03,-30.4748
2.31378,2313.78,-30.3012
2.32376,2323.76,-30.1432
2.33394,2333.94,-30.0964
2.3545,2354.5,-30.1232
2.3545,2354.5,-30.0996
2.36483,2364.83,-30.1556
2.37252,2372.52,-30.1732
2.37252,2372.52,-30.2732
2.39424,2394.24,-30.4764
2.40558,2405.58,-30.5296
2.41346,2413.46,-30.468
2.42653,2426.53,-30.3708
2.43401,2434.01,-30.3168
2.4418,2441.8,-30.296
2.45724,2457.24,-30.3252
2.46762,2467.62,-30.3972
2.4781,2478.1,-30.3908
2.4781,2478.1,-30.3904
2.49988,2499.88,-30.3548
2.51066,2510.66,-30.3288
2.52109,2521.09,-30.356
2.53011,2530.11,-30.534
2.54144,2541.44,-30.708
2.55375,2553.75,-30.7632
2.56417,2564.17,-30.8272
2.57483,2574.83,-30.894
2.58638,2586.38,-30.8808
2.59745,2597.45,-30.8524
2.60855,2608.55,-30.8228
2.61946,2619.46,-30.7372
2.63055,2630.55,-30.7356
2.64107,2641.07,-30.7968
2.65162,2651.62,-30.7888
2.66191,2661.91,-30.716
2.67243,2672.43,-30.5204
2.6828,2682.8,-30.4736
2.69378,2693.78,-30.5832
2.70438,2704.38,-30.6768
2.71562,2715.62,-30.8152
2.72615,2726.15,-30.9
2.73776,2737.76,-30.9512
2.74792,2747.92,-30.9668
2.7587,2758.7,-30.9428
2.77179,2771.79,-30.9504
2.78387,2783.87,-30.8692
2.7947,2794.7,-30.7616
2.80521,2805.21,-30.6812
2.81616,2816.16,-30.6324
2.82689,2826.89,-30.5648
2.83709,2837.09,-30.55
2.84742,2847.42,-30.5444
2.85628,2856.28,-30.4556
2.86795,2867.95,-30.4336
2.87913,2879.13,-30.4768
2.88976,2889.76,-30.5576
2.90092,2900.92,-30.598
2.91165,2911.65,-30.5196
2.92235,2922.35,-30.5196
2.93349,2933.49,-30.5792
2.94418,2944.18,-30.6144
2.95523,2955.23,-30.6136
2.96584,2965.84,-30.584
2.97628,2976.28,-30.5716
2.98684,2986.84,-30.55
2.99808,2998.08,-30.6104
3.00957,3009.57,-30.6812
3.02042,3020.42,-30.6904
3.03162,3031.62,-30.682
3.04236,3042.36,-30.7092
3.04236,3042.36,-30.6628
3.05323,3053.23,-30.614
3.06401,3064.01,-30.7688
3.07477,3074.77,-30.8804
3.08533,3085.33,-30.7972
