Age,YearsBP,TempC
12.779,12779,-49.5107
12.817,12817,-49.6483
12.854,12854,-49.2049
12.887,12887,-48.0428
12.92,12920,-45.9021
12.948,12948,-44.1208
12.973,12973,-42.104
12.993,12993,-41.3517
13.014,13014,-41.156
13.035,13035,-41.0703
13.055,13055,-41.5535
13.079,13079,-41.9083
13.102,13102,-43.1376
13.122,13122,-44.2569
13.145,13145,-45.0092
13.173,13173,-45.7645
13.205,13205,-46.2156
13.236,13236,-46.1774
13.262,13262,-45.0841
13.291,13291,-43.8165
13.316,13316,-43.3639
13.344,13344,-42.2569
13.366,13366,-41.2049
13.393,13393,-40.6055
13.416,13416,-39.9817
13.436,13436,-39.578
13.46,13460,-39.0581
13.482,13482,-39.6147
13.504,13504,-39.3211
13.527,13527,-39.0398
13.547,13547,-38.5138
13.588,13588,-38.4303
13.605,13605,-38.6034
13.625,13625,-39.2966
13.625,13625,-39.6758
13.647,13647,-40.0306
13.672,13672,-40.526
13.697,13697,-40.4771
13.72,13720,-40.1162
13.742,13742,-39.2294
13.762,13762,-39.0031
13.802,13802,-38.8939
13.821,13821,-38.9144
13.841,13841,-39.1437
13.862,13862,-39.1795
13.862,13862,-39.2355
13.882,13882,-39.37
13.902,13902,-39.37
13.924,13924,-39.3761
13.947,13947,-38.7829
13.969,13969,-39.0153
13.988,13988,-39.6697
14.01,14010,-40.8012
14.031,14031,-41.792
14.051,14051,-42.9908
14.081,14081,-42.6422
14.11,14110,-41.6024
14.131,14131,-40.3425
14.171,14171,-39.4291
14.187,14187,-38.3792
14.206,14206,-38.3893
14.225,14225,-38.1703
14.244,14244,-37.7012
14.261,14261,-37.2018
14.281,14281,-36.4168
14.299,14299,-35.8205
14.318,14318,-34.9388
14.334,14334,-34.3884
14.352,14352,-34.256
14.369,14369,-34.2813
14.384,14384,-34.1031
14.401,14401,-34.2303
14.419,14419,-34.5055
14.436,14436,-34.2713
14.454,14454,-34.1997
14.47,14470,-33.3281
14.485,14485,-32.7917
14.5,14500,-32.3765
14.516,14516,-31.992
14.532,14532,-32.1144
14.548,14548,-31.7737
14.565,14565,-32.2719
14.58,14580,-32.9795
14.596,14596,-33.1551
14.612,14612,-33.7055
14.629,14629,-34.6177
14.648,14648,-36.1061
14.669,14669,-38.267
14.669,14669,-38.9847
14.688,14688,-41.1621
14.711,14711,-42.8073
14.749,14749,-44.3043
14.788,14788,-44.5872
14.824,14824,-44.6713
14.86,14860,-44.633
14.897,14897,-45.0153
14.932,14932,-45.5581
14.968,14968,-45.2829
15.001,15001,-45.107
15.035,15035,-45.2141
15.074,15074,-44.6636
15.108,15108,-44.3425
15.142,15142,-43.6162
15.176,15176,-42.8899
15.214,15214,-43.448
15.25,15250,-43.4327
15.292,15292,-44.1361
15.292,15292,-44.6789
15.333,15333,-44.7706
15.375,15375,-45.1171
15.42,15420,-45.5046
15.5,15500,-45.344
15.535,15535,-45.3364
15.579,15579,-44.9694
15.579,15579,-44.7606
15.618,15618,-46.0245
15.66,15660,-47.4823
15.74,15740,-47.1789
15.74,15740,-46.7073
15.784,15784,-46.626
15.825,15825,-47.5434
15.903,15903,-48.8609
15.946,15946,-49.2661
15.946,15946,-49.5413
15.99,15990,-48.481
16.033,16033,-47.0948
16.072,16072,-45.6881
16.115,16115,-45.2193
16.159,16159,-45.5557
16.236,16236,-45.6957
16.274,16274,-46.1621
16.314,16314,-45.7034
16.348,16348,-45.841
16.389,16389,-45.8104
16.389,16389,-45.4639
16.465,16465,-46.2997
16.465,16465,-46.6055
16.51,16510,-47.2171
16.553,16553,-47.6352
16.629,16629,-47.0642
16.662,16662,-46.9037
16.702,16702,-47.5382
16.74,16740,-47.0872
16.773,16773,-47.3318
16.813,16813,-45.9404
16.845,16845,-45.2982
16.885,16885,-45.734
16.919,16919,-45.1453
16.96,16960,-47.0795
16.998,16998,-47.4159
16.998,16998,-47.5229
17.042,17042,-48.3691
17.083,17083,-47.6352
17.127,17127,-48.2162
17.169,17169,-47.7777
17.245,17245,-45.8181
17.284,17284,-45.0229
17.284,17284,-44.6076
17.333,17333,-44.7502
17.374,17374,-44.6584
17.416,17416,-43.8021
17.458,17458,-44.7502
17.503,17503,-44.6994
17.548,17548,-44.73
17.593,17593,-43.5168
17.638,17638,-44.2303
17.684,17684,-44.8113
17.73,17730,-45.7697
17.776,17776,-46.3202
17.821,17821,-45.8817
17.869,17869,-44.8725
17.92,17920,-43.578
17.97,17970,-43.3232
18.019,18019,-43.8838
18.071,18071,-44.4853
18.116,18116,-44.689
18.165,18165,-44.2914
18.216,18216,-43.6291
18.266,18266,-43.9755
18.317,18317,-44.4749
18.36,18360,-44.1385
18.408,18408,-44.108
18.464,18464,-43.5373
18.514,18514,-44.8523
18.563,18563,-45.1477
18.61,18610,-45.9838
18.663,18663,-44.4343
18.715,18715,-43.9144
18.767,18767,-43.3128
18.819,18819,-43.9349
18.877,18877,-43.6492
18.927,18927,-43.2722
18.98,18980,-43.2009
19.033,19033,-43.8327
19.077,19077,-43.8226
19.126,19126,-43.8431
19.167,19167,-42.9664
19.21,19210,-42.6606
19.253,19253,-42.9257
19.293,19293,-43.7309
19.336,19336,-44.6177
19.382,19382,-45.0664
19.422,19422,-45.0459
19.466,19466,-45.4028
19.511,19511,-45.4841
19.56,19560,-45.3211
19.602,19602,-45.0664
19.658,19658,-45.3517
19.708,19708,-45.637
19.761,19761,-46.045
19.812,19812,-45.9122
19.858,19858,-46.5749
19.904,19904,-45.9939
19.954,19954,-45.9226
20.007,20007,-45.311
20.051,20051,-45.7492
20.099,20099,-46.3609
20.144,20144,-46.4933
20.188,20188,-47.0236
20.233,20233,-47.533
20.281,20281,-48.3079
20.331,20331,-48.3691
20.376,20376,-46.7991
20.425,20425,-45.1275
20.478,20478,-45.0664
20.526,20526,-44.9541
20.572,20572,-45.5147
20.621,20621,-44.5055
20.671,20671,-45.5862
20.721,20721,-46.585
20.774,20774,-47.4719
20.83,20830,-47.2272
20.877,20877,-47.6248
20.926,20926,-48.0428
20.982,20982,-48.4609
21.036,21036,-48.3997
21.087,21087,-48.7972
21.137,21137,-48.9603
21.191,21191,-49.2355
21.239,21239,-49.6942
21.292,21292,-50.6321
21.345,21345,-50.4893
21.396,21396,-49.8572
21.449,21449,-49.0725
21.502,21502,-49.5514
21.556,21556,-49.9183
21.612,21612,-50.4893
21.671,21671,-49.256
21.727,21727,-49.0315
21.793,21793,-48.1346
21.856,21856,-49.2254
21.916,21916,-48.7869
21.9795,21979.5,-49.1538
22.0355,22035.5,-48.7055
