SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,Taxon Name,Value,PollenSum,Percentage,Units,Element,Context,Depth,ColUnit
Mountain Lake,37.78826,-122.470765,33.0,83.0,60.0,Sequoia,31.0,14770.0,0.209884901828,NISP,pollen,,140.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,42.0,89.0,68.0,Sequoia,24.0,15048.0,0.159489633174,NISP,pollen,,150.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,51.0,95.0,75.0,Sequoia,32.0,14537.0,0.220127949371,NISP,pollen,,160.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,62.0,100.0,83.0,Sequoia,28.0,14600.0,0.191780821918,NISP,pollen,,170.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,77.0,103.0,90.0,Sequoia,33.0,14763.0,0.223531802479,NISP,pollen,,175.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,84.0,109.0,96.0,Sequoia,22.0,14606.0,0.150623031631,NISP,pollen,,180.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,97.0,117.0,107.0,Sequoia,41.0,14552.0,0.281748213304,NISP,pollen,,185.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,102.0,133.0,117.0,Sequoia,19.0,14552.0,0.13056624519,NISP,pollen,,190.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,114.0,160.0,135.0,Sequoia,23.0,14912.0,0.154238197425,NISP,pollen,,195.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,118.0,199.0,153.0,Sequoia,21.0,14544.0,0.144389438944,NISP,pollen,,200.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,134.0,277.0,191.0,Sequoia,37.0,14458.0,0.255913681007,NISP,pollen,,210.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,154.0,335.0,230.0,Sequoia,18.0,14443.0,0.1246278474,NISP,pollen,,220.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,270.0,509.0,386.0,Sequoia,14.0,14477.0,0.0967051184638,NISP,pollen,,260.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,307.0,548.0,425.0,Sequoia,30.0,14713.0,0.203901311765,NISP,pollen,,270.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,343.0,586.0,464.0,Sequoia,39.0,14517.0,0.268650547634,NISP,pollen,,280.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,386.0,617.0,504.0,Sequoia,30.0,14547.0,0.206228088266,NISP,pollen,,290.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,430.0,649.0,542.0,Sequoia,23.0,14573.0,0.157826116791,NISP,pollen,,300.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,475.0,685.0,583.0,Sequoia,33.0,14474.0,0.227995025563,NISP,pollen,,310.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,510.0,751.0,625.0,Sequoia,24.0,14564.0,0.164789892887,NISP,pollen,,320.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,540.0,805.0,667.0,Sequoia,30.0,14589.0,0.205634382069,NISP,pollen,,330.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,608.0,907.0,753.0,Sequoia,91.0,14776.0,0.615863562534,NISP,pollen,,350.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,643.0,955.0,795.0,Sequoia,40.0,14610.0,0.273785078713,NISP,pollen,,360.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,678.0,999.0,837.0,Sequoia,70.0,14777.0,0.473709142586,NISP,pollen,,370.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,719.0,1043.0,881.0,Sequoia,64.0,14739.0,0.434222131759,NISP,pollen,,380.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,800.0,1128.0,966.0,Sequoia,57.0,15044.0,0.378888593459,NISP,pollen,,400.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,844.0,1164.0,1009.0,Sequoia,78.0,14818.0,0.526386826832,NISP,pollen,,410.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,884.0,1202.0,1052.0,Sequoia,82.0,14775.0,0.554991539763,NISP,pollen,,420.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,928.0,1235.0,1093.0,Sequoia,25.0,14517.0,0.172211889509,NISP,pollen,,430.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,1023.0,1302.0,1177.0,Sequoia,39.0,14427.0,0.2703264712,NISP,pollen,,450.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,1075.0,1332.0,1220.0,Sequoia,39.0,14395.0,0.270927405349,NISP,pollen,,460.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,1109.0,1387.0,1262.0,Sequoia,34.0,14501.0,0.234466588511,NISP,pollen,,470.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,1180.0,1494.0,1342.0,Sequoia,43.0,14585.0,0.294823448749,NISP,pollen,,490.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,1247.0,1590.0,1422.0,Sequoia,35.0,15011.0,0.233162347612,NISP,pollen,,510.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,1318.0,1682.0,1501.0,Sequoia,23.0,14754.0,0.155889928155,NISP,pollen,,530.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,1398.0,1772.0,1582.0,Sequoia,53.0,14556.0,0.364111019511,NISP,pollen,,550.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,1438.0,1814.0,1623.0,Sequoia,31.0,14624.0,0.211980306346,NISP,pollen,,560.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,1479.0,1851.0,1662.0,Sequoia,34.0,14508.0,0.23435346016,NISP,pollen,,570.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,1522.0,1892.0,1703.0,Sequoia,22.0,14436.0,0.152396785813,NISP,pollen,,580.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,1565.0,1934.0,1743.0,Sequoia,23.0,14419.0,0.159511755323,NISP,pollen,,590.0,MOUNTAIN
Mountain Lake,37.78826,-122.470765,1589.0,1956.0,1763.0,Sequoia,16.0,14503.0,0.110322002344,NISP,pollen,,595.0,MOUNTAIN
