siteName,latitude,longitude,age,pollenPercentage,pollenSum,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,tmin1,tmin2,tmin3,tmin4,tmin5,tmin6,tmin7,tmin8,tmin9,tmin10,tmin11,tmin12,tmax1,tmax2,tmax3,tmax4,tmax5,tmax6,tmax7,tmax8,tmax9,tmax10,tmax11,tmax12,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
Lilypad Lake,36.98229,-118.99407,11778.0,0.684931506849,584.0,149.1,130.0,111.3,60.5,27.1,16.9,21.3,19.9,28.3,60.7,98.2,175.4,-9.39,-8.93,-8.27,-5.9,-1.11,3.27,7.2,5.28,0.97,-3.73,-8.09,-10.16,6.43,6.68,7.17,10.52,16.88,23.9,28.98,26.63,20.69,13.91,7.95,5.9,71.653333333333336,-78.13,805.46391752577313,48.492046312313484,7.2000000000000002,16.899999999999999,-9.6999999999999993,24.616666666666664,142.00666666666666,142.00666666666666,24.616666666666664,175.64,28.98,5.9000000000000004,52.281399237754719,79.509999999999991,19.009999999999998,6.336666666666666,26.50333333333333
Lilypad Lake,36.98229,-118.99407,14794.0,0.254452926209,393.0,173.9,170.3,183.5,88.0,24.8,9.0,9.0,10.6,27.1,97.6,178.2,238.1,-10.53,-9.98,-9.21,-7.09,-2.98,0.58,4.16,2.56,-0.95,-4.99,-9.08,-11.24,5.32,5.17,4.99,7.85,14.13,21.41,26.73,24.45,18.5,11.88,6.32,4.71,95.94583333333334,-105.7375,2184.659090909091,75.878293389077285,4.1600000000000001,9.0,-4.8399999999999999,11.966666666666669,183.51666666666668,186.44999999999996,11.966666666666669,151.46,26.73,4.71,57.872098050811957,72.590000000000003,15.200000000000001,5.4500000000000002,24.196666666666669
Lower Lake,38.590035,-123.30498,-29.0,12.6524390244,656.0,217.0,185.2,141.1,68.3,25.5,7.4,2.4,2.5,9.8,41.7,115.4,182.4,2.87,4.15,5.16,6.55,9.0,10.99,12.03,11.91,11.0,8.71,5.43,3.08,13.36,15.9,17.56,20.06,23.47,26.6,29.18,28.65,27.32,23.64,17.53,13.67,90.798333333333332,-75.65166666666666,-785.58324679819998,74.262790125487626,12.029999999999999,2.3999999999999999,9.629999999999999,16.546666666666667,198.23333333333335,198.23333333333335,15.743333333333334,256.94,29.18,13.359999999999999,24.797723616148186,85.150000000000006,42.93,14.31,28.143333333333334
Lower Lake,38.590035,-123.30498,80.0,13.8282387191,687.0,201.8,171.2,138.5,74.1,30.9,9.9,3.4,3.5,13.3,52.7,130.6,183.0,2.67,3.46,3.51,4.34,6.98,9.66,11.08,10.77,9.31,6.89,4.1,2.58,13.04,14.83,15.17,16.93,20.59,24.66,27.84,27.18,25.27,21.46,15.97,13.07,90.6875,-78.12916666666668,-1017.3068576388891,70.011961016791034,11.08,3.3999999999999999,7.6799999999999997,17.120000000000001,188.23666666666668,188.23666666666668,16.103333333333335,236.01000000000002,27.84,13.039999999999999,25.597282679523115,80.289999999999992,40.939999999999998,13.646666666666667,26.560000000000002
Lower Lake,38.590035,-123.30498,103.0,7.63260025873,773.0,224.8,172.2,123.8,61.7,25.5,8.5,3.1,3.5,14.1,59.3,152.7,214.9,2.57,3.62,4.07,5.1,7.62,9.96,11.14,10.81,9.5,7.13,4.21,2.49,12.66,14.98,16.18,18.37,21.8,25.16,27.87,27.25,25.71,22.03,16.22,12.79,95.193333333333328,-82.15666666666667,-1021.8490878938638,78.196250158744107,11.140000000000001,3.1000000000000001,8.0400000000000009,17.383333333333336,206.85999999999999,206.85999999999999,15.670000000000002,241.01999999999998,27.870000000000001,12.66,25.378330237734076,80.830000000000013,40.43,13.476666666666667,26.760000000000002
Lower Lake,38.590035,-123.30498,113.0,18.90625,640.0,228.2,185.3,146.8,75.6,30.0,9.2,3.3,3.7,15.8,68.1,170.1,222.5,2.87,3.98,4.48,5.44,7.73,9.79,10.83,10.57,9.49,7.32,4.51,2.78,12.5,14.88,16.17,18.4,21.76,25.01,27.66,27.07,25.63,22.0,16.16,12.66,103.19916666666667,-89.90083333333332,-1193.9021691013722,81.969263086673052,10.83,3.2999999999999998,7.5300000000000002,17.896666666666665,215.21000000000001,215.21000000000001,15.796666666666667,239.9,27.66,12.5,25.38961176878643,80.359999999999999,40.039999999999999,13.346666666666666,26.580000000000002
Lower Lake,38.590035,-123.30498,127.0,25.5898366606,551.0,299.5,221.6,134.9,63.7,28.4,10.5,3.7,3.6,12.0,45.4,128.2,238.9,2.87,3.9,4.37,5.28,7.49,9.49,10.58,10.49,9.63,7.6,4.77,2.91,12.8,15.1,16.39,18.57,21.82,24.95,27.63,27.23,26.06,22.6,16.75,13.1,105.815,-92.58499999999998,-1326.4326647564467,97.292754997481694,10.58,3.6000000000000001,6.9800000000000004,16.666666666666668,256.56,256.56,16.120000000000001,243.0,27.629999999999999,12.800000000000001,24.683007150342366,80.920000000000002,41.0,13.666666666666666,26.603333333333335
Lower Lake,38.590035,-123.30498,138.0,39.8104265403,422.0,262.2,196.1,148.1,80.6,37.2,13.8,5.4,6.2,25.1,99.2,228.1,277.2,3.34,4.31,4.61,5.38,7.54,9.56,10.65,10.53,9.65,7.66,4.98,3.3,13.34,15.54,16.6,18.58,21.76,24.92,27.62,27.22,26.05,22.67,17.01,13.56,121.72583333333331,-108.14083333333333,-2059.8253968253966,96.738665697704462,10.65,5.4000000000000004,5.25,22.510000000000002,248.81666666666663,259.70666666666665,18.713333333333335,244.87,27.620000000000001,13.34,23.647873529811118,80.890000000000001,42.439999999999998,14.636666666666665,26.58666666666667
Lower Lake,38.590035,-123.30498,150.0,43.7823834197,386.0,213.0,177.4,151.2,83.1,34.2,10.7,3.8,4.4,18.7,77.8,181.2,216.7,2.8,3.88,4.37,5.3,7.54,9.54,10.6,10.43,9.49,7.41,4.59,2.78,13.09,15.23,16.14,18.14,21.55,25.04,27.88,27.32,25.79,22.18,16.5,13.22,104.24416666666667,-91.1225,-1340.0367647058824,78.724465009120408,10.6,3.7999999999999998,6.7999999999999998,19.139999999999997,205.51999999999998,207.02333333333331,16.489999999999998,242.07999999999998,27.879999999999999,13.09,24.709935480782764,80.990000000000009,41.540000000000006,14.270000000000001,26.74666666666667
Lower Lake,38.590035,-123.30498,162.0,37.8865979381,388.0,285.7,224.0,154.9,77.0,32.9,11.2,3.9,3.9,14.4,56.3,150.3,244.0,4.08,4.97,4.93,5.44,7.57,9.71,10.81,10.48,9.32,7.3,4.93,3.75,13.94,15.86,16.44,18.11,21.3,24.71,27.61,27.23,25.98,22.66,17.24,14.11,111.81583333333333,-97.93416666666667,-1417.2817173178969,96.302715473858214,10.81,3.8999999999999999,6.9100000000000001,17.603333333333335,255.5,255.5,16.666666666666668,245.18999999999994,27.609999999999999,13.94,22.820739405629912,80.820000000000007,43.909999999999997,14.636666666666665,26.516666666666666
