SiteName,Latitude,Longitude,ageYounger,AgeOlder,Age,Taxon Name,Value,PollenSum,Percentage,Units,Element,Context,Depth,ColUnit
Arrington Marsh,39.495,-95.526667,,,17125.0,Picea,194.0,369.0,52.574525745257446,NISP,pollen,,373.0,ARRINGTO
Arrington Marsh,39.495,-95.526667,,,17508.0,Picea,227.0,419.0,54.17661097852029,NISP,pollen,,393.0,ARRINGTO
Arrington Marsh,39.495,-95.526667,,,17910.0,Picea,220.0,383.0,57.44125326370757,NISP,pollen,,414.0,ARRINGTO
Arrington Marsh,39.495,-95.526667,,,18274.0,Picea,286.0,451.0,63.41463414634146,NISP,pollen,,433.0,ARRINGTO
Arrington Marsh,39.495,-95.526667,,,18753.0,Picea,215.0,389.0,55.26992287917738,NISP,pollen,,458.0,ARRINGTO
Arrington Marsh,39.495,-95.526667,,,19041.0,Picea,238.0,411.0,57.907542579075425,NISP,pollen,,473.0,ARRINGTO
Arrington Marsh,39.495,-95.526667,,,19424.0,Picea,248.0,437.0,56.75057208237986,NISP,pollen,,493.0,ARRINGTO
Arrington Marsh,39.495,-95.526667,,,19807.0,Picea,221.0,433.0,51.03926096997691,NISP,pollen,,513.0,ARRINGTO
Arrington Marsh,39.495,-95.526667,,,20190.0,Picea,270.0,446.0,60.53811659192825,NISP,pollen,,533.0,ARRINGTO
Arrington Marsh,39.495,-95.526667,,,20573.0,Picea,222.0,399.0,55.639097744360896,NISP,pollen,,553.0,ARRINGTO
Arrington Marsh,39.495,-95.526667,,,20956.0,Picea,328.0,562.0,58.362989323843415,NISP,pollen,,573.0,ARRINGTO
